data,origem,familia_caixa,modelo_caixa_previsao,quantidade_caixas,numero_dia_semana,dia_semana
2025-09-05,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-09-06,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-09-08,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-09-09,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-09-10,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-09-11,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-09-12,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-09-13,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-09-15,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-09-16,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-09-17,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-09-18,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-09-19,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-09-20,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-09-22,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-09-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-09-24,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,2,quarta-feira
2025-09-25,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-09-26,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-09-27,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-09-29,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-09-30,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,1,terça-feira
2025-10-01,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-10-02,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-10-03,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-10-04,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,5,sábado
2025-10-06,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,0,segunda-feira
2025-10-07,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-10-08,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-10-09,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-10-10,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-10-11,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-10-13,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-10-14,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-10-15,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-10-16,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-10-17,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-10-18,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-10-20,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,0,segunda-feira
2025-10-21,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-10-22,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,2,quarta-feira
2025-10-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-10-24,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-10-25,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-10-27,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,0,segunda-feira
2025-10-28,TREB. MINAS,IFCO,NAO_INFORMADO,1.0,1,terça-feira
2025-10-29,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-10-30,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-10-31,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-11-01,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-11-03,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,0,segunda-feira
2025-11-04,TREB. MINAS,IFCO,NAO_INFORMADO,2.0,1,terça-feira
